ReportDate,DataYM,CompanyCode,CompanyName,Industry,NowRevenue,LastMonthRevenue,LastYearSameMonthRevenue,MonthlyPercent,YearlyPercent,CumulativeNowRevenue,CumulativeLastYearRevenue,CumulativeChangePercent,Comment
1150117,11412,1101,台泥,水泥工業,14219975,13121753,16543379,8.369476243,-14.04431344,150662273,154909312,-2.741629244,-
1150117,11412,1102,亞泥,水泥工業,6172608,5885302,7085373,4.881754581,-12.8823846,71040192,76289963,-6.88133903,-
1150117,11412,1103,嘉泥,水泥工業,274867,249102,284185,10.3431526,-3.278850045,3015357,2984963,1.018237077,-
1150117,11412,1104,環泥,水泥工業,779128,636793,755359,22.35184746,3.146715668,7922013,7953734,-0.39881897,-
1150117,11412,1108,幸福,水泥工業,373043,326349,503598,14.30799543,-25.92444767,4450781,4867094,-8.553625634,-
1150117,11412,1109,信大,水泥工業,415638,354802,397254,17.14646479,4.627769639,4431538,4656291,-4.826867565,-
1150117,11412,1110,東泥,水泥工業,236192,210022,260477,12.46059937,-9.323279982,2851556,2872958,-0.744946498,-
1150117,11412,1201,味全,食品工業,1670916,1651571,1850209,1.171309014,-9.690418758,21842084,23473804,-6.951238069,-
1150117,11412,1203,味王,食品工業,435027,434162,602521,0.199234387,-27.7988651,5620661,6232086,-9.810920453,-
1150117,11412,1210,大成,食品工業,9592082,8857963,9166173,8.287672911,4.646530237,102579443,103574151,-0.96038248,-
1150117,11412,1213,大飲,食品工業,20948,23757,16829,-11.82388349,24.47560758,297365,191040,55.65588358,"113年12月因產能不足,恢復產能後及積極推展業務,致使114年12月營收成長"
1150117,11412,1215,卜蜂,食品工業,2749915,2482253,2433129,10.78302655,13.01969604,28431622,27957258,1.696747227,-
1150117,11412,1216,統一,食品工業,52311321,51161260,51439480,2.247913753,1.694886885,672863647,657630647,2.31634582,-
1150117,11412,1217,愛之味,食品工業,314958,324091,332502,-2.818035675,-5.27635924,5035944,5116701,-1.578302113,-
1150117,11412,1218,泰山,食品工業,832865,755967,728608,10.17213714,14.30906605,10117411,10681240,-5.278684872,-
1150117,11412,1219,福壽,食品工業,1332578,1202794,1268028,10.79021013,5.090581596,14408120,14345171,0.438816658,-
1150117,11412,1220,台榮,食品工業,308992,360840,320533,-14.36869527,-3.600565308,3416643,3488761,-2.067152207,-
1150117,11412,1225,福懋油,食品工業,1130151,992489,1187967,13.87038043,-4.866801856,12194204,12977345,-6.034678126,-
1150117,11412,1227,佳格,食品工業,2774103,2611225,3346029,6.237608785,-17.09267911,27876247,28973692,-3.787729227,-
1150117,11412,1229,聯華,食品工業,1367820,1273348,1229499,7.419181559,11.25019215,13420176,12946742,3.656780988,-
1150117,11412,1231,聯華食,食品工業,1303204,1019108,1396819,27.87692767,-6.702013647,12867131,12201941,5.451509723,-
1150117,11412,1232,大統益,食品工業,1993530,1822177,1950296,9.403751666,2.216791708,21513071,22066604,-2.508464828,-
1150117,11412,1233,天仁,食品工業,202853,176031,211857,15.23708892,-4.250036581,2165326,2217314,-2.344638603,-
1150117,11412,1234,黑松,食品工業,640539,684260,708329,-6.389530296,-9.57041149,9511151,10253071,-7.236075904,-
1150117,11412,1235,興泰,食品工業,11362,24760,11593,-54.11147011,-1.99258173,175916,112698,56.09505049,"泰宇網通累計1-12月營收較去年同期增加  74,315   仟元"
1150117,11412,1236,宏亞,食品工業,196864,120899,265285,62.83343948,-25.79150725,1813512,1977776,-8.305490612,-
1150117,11412,1256,鮮活果汁-KY,食品工業,408763,240414,234226,70.02462419,74.51649262,4119847,4003256,2.912404303,本月因果汁類產品銷量增加，致營收較去年同期成長。
1150117,11412,1301,台塑,塑膠工業,14304735,13389395,16445283,6.836305897,-13.01618221,175411403,200040347,-12.31198824,-
1150117,11412,1303,南亞,塑膠工業,22097720,21130715,23425080,4.576300423,-5.666405408,259902881,259608483,0.113400763,-
1150117,11412,1304,台聚,塑膠工業,3416559,3258556,4172565,4.848865571,-18.11849546,44167026,51014697,-13.42293771,-
1150117,11412,1305,華夏,塑膠工業,656140,621233,746673,5.618986757,-12.12485251,9220772,11086333,-16.827575,-
1150117,11412,1307,三芳,塑膠工業,799144,850259,808138,-6.011697612,-1.112928732,10814943,10779822,0.325803153,-
1150117,11412,1308,亞聚,塑膠工業,494254,468030,554385,5.603059633,-10.84643344,5744290,6031298,-4.758643993,-
1150117,11412,1309,台達化,塑膠工業,1042274,909181,1556333,14.6387793,-33.03014201,14484486,18622672,-22.22122583,-
1150117,11412,1310,台苯,塑膠工業,535318,579949,997495,-7.695676689,-46.33376608,8672932,11422836,-24.07374141,-
1150117,11412,1312,國喬,塑膠工業,2356924,2089472,1430644,12.79998009,64.74566699,22707547,16419410,38.29697291,今年三月份重要子公司開始投產銷售，不論單月營收或累計營收，均較去年同期增加，惟國際經濟環境仍紛擾，市場利差不如預期。
1150117,11412,1313,聯成,塑膠工業,5084497,4909229,6438589,3.570173646,-21.03088114,58766216,73319410,-19.84903316,-
1150117,11412,1314,中石化,塑膠工業,1347475,1101798,2208382,22.29782592,-38.98360881,19217032,30130776,-36.22125099,"子公司依IFRS 5將營收重分類為停業單位，113年合併營收查核數為29,442,175仟元，與公告營收差異數為新台幣(688,601)仟元"
